"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 00:00","2026","02","01","00:00","","-11.3","","-17.7","","59","","0.0","","","","","","","","100.92","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 01:00","2026","02","01","01:00","","-12.0","","-17.8","","62","","0.0","","","","","","","","100.88","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 02:00","2026","02","01","02:00","","-12.7","","-18.0","","65","","0.0","","","","","","","","100.86","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 03:00","2026","02","01","03:00","","-12.6","","-18.1","","63","","0.0","","","","","","","","100.88","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 04:00","2026","02","01","04:00","","-13.5","","-18.8","","64","","0.0","","","","","","","","100.87","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 05:00","2026","02","01","05:00","","-14.4","","-19.3","","66","","0.0","","","","","","","","100.87","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 06:00","2026","02","01","06:00","","-14.3","","-19.3","","66","","0.0","","","","","","","","100.85","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 07:00","2026","02","01","07:00","","-14.7","","-19.7","","66","","0.0","","","","","","","","100.82","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 08:00","2026","02","01","08:00","","-15.0","","-20.0","","66","","0.0","","","","","","","","100.81","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 09:00","2026","02","01","09:00","","-13.7","","-19.4","","62","","0.0","","","","","","","","100.84","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 10:00","2026","02","01","10:00","","-11.6","","-19.4","","52","","0.0","","","","","","","","100.85","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 11:00","2026","02","01","11:00","","-10.0","","-18.8","","49","","0.0","","","","","","","","100.84","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 12:00","2026","02","01","12:00","","-8.7","","-18.6","","44","","0.0","","","","","","","","100.81","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 13:00","2026","02","01","13:00","","-6.8","","-18.7","","38","","0.0","","","","","","","","100.72","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 14:00","2026","02","01","14:00","","-5.5","","-21.0","","29","","0.0","","","","","","","","100.62","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 15:00","2026","02","01","15:00","","-4.9","","-18.1","","35","","0.0","","","","","","","","100.59","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 16:00","2026","02","01","16:00","","-5.1","","-18.2","","35","","0.0","","","","","","","","100.58","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 17:00","2026","02","01","17:00","","-5.6","","-16.9","","41","","0.0","","","","","","","","100.62","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 18:00","2026","02","01","18:00","","-6.4","","-16.3","","45","","0.0","","","","","","","","100.66","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 19:00","2026","02","01","19:00","","-7.1","","-15.1","","53","","0.0","","","","","","","","100.69","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 20:00","2026","02","01","20:00","","-7.7","","-16.3","","50","","0.0","","","","","","","","100.68","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 21:00","2026","02","01","21:00","","-8.1","","-16.2","","52","","0.0","","","","","","","","100.68","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 22:00","2026","02","01","22:00","","-8.1","","-15.8","","54","","0.0","","","","","","","","100.68","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-01 23:00","2026","02","01","23:00","","-8.5","","-15.3","","58","","0.0","","","","","","","","100.67","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 00:00","2026","02","02","00:00","","-8.7","","-15.3","","59","","0.0","","","","","","","","100.68","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 01:00","2026","02","02","01:00","","-9.9","","-15.5","","64","","0.0","","","","","","","","100.70","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 02:00","2026","02","02","02:00","","-10.8","","-15.8","","67","","0.0","","","","","","","","100.73","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 03:00","2026","02","02","03:00","","-10.5","","-15.4","","67","","0.0","","","","","","","","100.70","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 04:00","2026","02","02","04:00","","-11.4","","-14.8","","76","","0.0","","","","","","","","100.71","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 05:00","2026","02","02","05:00","","-11.6","","-14.1","","82","","0.0","","","","","","","","100.71","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 06:00","2026","02","02","06:00","","-11.6","","-13.4","","86","","0.0","","","","","","","","100.72","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 07:00","2026","02","02","07:00","","-12.1","","-13.8","","87","","0.0","","","","","","","","100.73","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 08:00","2026","02","02","08:00","","-11.8","","-13.5","","87","","0.0","","","","","","","","100.75","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 09:00","2026","02","02","09:00","","-10.6","","-12.3","","87","","0.0","","","","","","","","100.77","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 10:00","2026","02","02","10:00","","-7.0","","-11.6","","70","","0.0","","","","","","","","100.75","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 11:00","2026","02","02","11:00","","-5.5","","-11.2","","64","","0.0","","","","","","","","100.72","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 12:00","2026","02","02","12:00","","-5.9","","-10.5","","70","","0.0","","","","","","","","100.71","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 13:00","2026","02","02","13:00","","-4.2","","-11.5","","57","","0.0","","","","","","","","100.62","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 14:00","2026","02","02","14:00","","-4.5","","-9.6","","67","","0.0","","","","","","","","100.54","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 15:00","2026","02","02","15:00","","-4.7","","-9.3","","70","","0.0","","","","","","","","100.49","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 16:00","2026","02","02","16:00","","-4.2","","-8.9","","70","","0.0","","","","","","","","100.48","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 17:00","2026","02","02","17:00","","-4.3","","-8.9","","70","","0.0","","","","","","","","100.48","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 18:00","2026","02","02","18:00","","-4.6","","-9.2","","70","","0.0","","","","","","","","100.49","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 19:00","2026","02","02","19:00","","-4.4","","-9.5","","67","","0.0","","","","","","","","100.51","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 20:00","2026","02","02","20:00","","-4.6","","-9.5","","69","","0.0","","","","","","","","100.51","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 21:00","2026","02","02","21:00","","-4.8","","-8.5","","75","","0.0","","","","","","","","100.51","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 22:00","2026","02","02","22:00","","-4.8","","-8.2","","77","","0.0","","","","","","","","100.47","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-02 23:00","2026","02","02","23:00","","-5.0","","-7.9","","80","","0.0","","","","","","","","100.46","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-03 00:00","2026","02","03","00:00","","-5.0","","-7.3","","84","","0.1","","","","","","","","100.45","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-03 01:00","2026","02","03","01:00","","-4.9","","-7.5","","82","","0.0","","","","","","","","100.45","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-03 02:00","2026","02","03","02:00","","-4.9","","-7.6","","81","","0.0","","","","","","","","100.46","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-03 03:00","2026","02","03","03:00","","-4.7","","-7.7","","79","","0.0","","","","","","","","100.48","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-03 04:00","2026","02","03","04:00","","-4.7","","-7.8","","79","","0.0","","","","","","","","100.46","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-02-03 05:00","2026","02","03","05:00","","-4.6","","-7.6","","80","","0.0","","","","","","","","100.43","","","","","","NA"
