"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 00:00","2026","01","01","00:00","","-9.1","","-13.9","","68","","0.0","","","","","","","","98.88","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 01:00","2026","01","01","01:00","","-10.3","","-14.7","","70","","0.0","","","","","","","","99.00","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 02:00","2026","01","01","02:00","","-10.7","","-15.0","","70","","0.0","","","","","","","","99.10","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 03:00","2026","01","01","03:00","","-10.6","","-16.3","","63","","0.0","","","","","","","","99.22","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 04:00","2026","01","01","04:00","","-10.5","","-18.7","","51","","0.0","","","","","","","","99.27","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 05:00","2026","01","01","05:00","","-11.3","","-18.0","","58","","0.0","","","","","","","","99.35","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 06:00","2026","01","01","06:00","","-11.8","","-17.6","","62","","0.0","","","","","","","","99.45","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 07:00","2026","01","01","07:00","","-12.3","","-18.7","","59","","0.0","","","","","","","","99.54","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 08:00","2026","01","01","08:00","","-12.4","","-18.1","","63","","0.0","","","","","","","","99.59","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 09:00","2026","01","01","09:00","","-11.8","","-18.6","","57","","0.0","","","","","","","","99.64","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 10:00","2026","01","01","10:00","","-10.1","","-19.9","","45","","0.0","","","","","","","","99.71","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 11:00","2026","01","01","11:00","","-9.5","","-18.6","","47","","0.0","","","","","","","","99.77","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 12:00","2026","01","01","12:00","","-8.9","","-15.9","","57","","0.0","","","","","","","","99.73","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 13:00","2026","01","01","13:00","","-8.3","","-15.2","","57","","0.0","","","","","","","","99.66","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 14:00","2026","01","01","14:00","","-6.5","","-14.1","","55","","0.0","","","","","","","","99.55","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 15:00","2026","01","01","15:00","","-6.9","","-12.4","","65","","0.0","","","","","","","","99.57","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 16:00","2026","01","01","16:00","","-7.0","","-12.4","","65","","0.0","","","","","","","","99.55","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 17:00","2026","01","01","17:00","","-7.4","","-14.1","","58","","0.0","","","","","","","","99.57","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 18:00","2026","01","01","18:00","","-8.0","","-12.8","","68","","0.0","","","","","","","","99.57","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 19:00","2026","01","01","19:00","","-8.2","","-13.2","","68","","0.0","","","","","","","","99.54","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 20:00","2026","01","01","20:00","","-8.6","","-13.4","","68","","0.0","","","","","","","","99.51","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 21:00","2026","01","01","21:00","","-8.6","","-13.3","","69","","0.0","","","","","","","","99.45","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 22:00","2026","01","01","22:00","","-8.6","","-13.0","","71","","0.0","","","","","","","","99.42","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-01 23:00","2026","01","01","23:00","","-8.4","","-12.7","","71","","0.0","","","","","","","","99.38","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-02 00:00","2026","01","02","00:00","","-8.3","","-12.4","","72","","0.0","","","","","","","","99.32","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-02 01:00","2026","01","02","01:00","","-7.9","","-12.1","","72","","0.0","","","","","","","","99.27","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-02 02:00","2026","01","02","02:00","","-7.4","","-11.9","","70","","0.0","","","","","","","","99.24","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-02 03:00","2026","01","02","03:00","","-7.2","","-11.4","","72","","0.0","","","","","","","","99.20","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-02 04:00","2026","01","02","04:00","","-6.9","","-11.3","","71","","0.0","","","","","","","","99.15","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-02 05:00","2026","01","02","05:00","","-6.8","","-11.4","","70","","0.0","","","","","","","","99.11","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-02 06:00","2026","01","02","06:00","","-6.8","","-11.2","","71","","0.0","","","","","","","","99.14","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2026-01-02 07:00","2026","01","02","07:00","","-6.6","","-10.9","","71","","0.0","","","","","","","","99.20","","","","","","NA"
